entry_time,exit_time,side,lots,entry_price,exit_price,entry_fill,exit_fill,bars_held,reason,gross_pnl,commission,net_pnl,equity_after
2026-02-12 16:00:00+00:00,2026-02-12 17:00:00+00:00,-1,0.03,5060.45,5010.28094612475,5060.3,5010.430946124749,1,tp,150.5071616257501,0.21,149.39716162575226,10045.274809228726
2026-02-12 17:00:00+00:00,2026-02-13 02:00:00+00:00,-1,0.01,4954.14,4990.995632156367,4953.990000000001,4991.195632156367,8,sl,-36.85563215636648,0.07,-37.27563215636594,10007.999177072359
2026-02-13 02:00:00+00:00,2026-02-13 15:00:00+00:00,-1,0.02,4981.31,5019.097664802634,4981.110000000001,5019.247664802634,13,sl,-75.57532960526805,0.14,-76.41532960526696,9931.583847467093
2026-02-13 15:00:00+00:00,2026-02-13 16:00:00+00:00,-1,0.02,4996.91,5029.194330072938,4996.76,5029.344330072938,1,sl,-64.56866014587649,0.14,-65.30866014587504,9866.275187321218
2026-02-13 17:00:00+00:00,2026-02-13 19:00:00+00:00,-1,0.02,5007.84,5042.894141746564,5007.6900000000005,5043.044141746564,2,sl,-70.1082834931276,0.14,-70.84828349312615,9795.426903828093
2026-02-13 19:00:00+00:00,2026-02-16 23:00:00+00:00,-1,0.02,5031.11,4989.76,5030.96,4989.91,24,vertical,82.69999999999891,0.14,81.96000000000036,9877.386903828094
2026-02-16 23:00:00+00:00,2026-02-17 00:00:00+00:00,-1,0.04,4994.58,4957.156418823719,4994.43,4957.356418823719,1,tp,149.69432470512402,0.28,148.0143247051262,10025.40122853322
2026-02-17 00:00:00+00:00,2026-02-17 01:00:00+00:00,-1,0.04,4989.79,4952.862388907739,4989.59,4953.062388907739,1,tp,147.71044436904413,0.28,145.83044436904558,10171.231672902264
2026-02-17 01:00:00+00:00,2026-02-17 02:00:00+00:00,-1,0.03,4935.74,4957.127105149978,4935.54,4957.327105149978,1,sl,-64.16131544993459,0.21,-65.5713154499335,10105.66035745233
2026-02-17 02:00:00+00:00,2026-02-17 05:00:00+00:00,-1,0.04,4957.0,4911.576804721469,4956.8,4911.776804721469,3,tp,181.69278111412495,0.28,179.8127811141264,10285.473138566456
2026-02-17 05:00:00+00:00,2026-02-17 06:00:00+00:00,-1,0.04,4953.19,4910.208360048494,4952.99,4910.408360048494,1,tp,171.92655980602285,0.28,170.0465598060243,10455.51969837248
